VFD Motor Startup Simulation Data
Generated:,2025-10-10 12:38:24
Motor Rating:,800 HP
Load Type:,constant_torque

Time (s),Frequency (Hz),Speed (RPM),Slip (%),Torque (Nm),Load Torque (Nm),Current (A),Power Output (kW),Power Input (kW),Efficiency (%)
19.670,39.34,1121.4,4.98,2961.5,1801.3,856.2,211.53,600.31,35.2
19.700,39.40,1123.2,4.98,2963.6,1802.9,856.7,212.06,600.68,35.3
19.730,39.46,1124.9,4.97,2965.6,1804.6,857.3,212.59,601.06,35.4
19.760,39.52,1126.7,4.97,2967.6,1806.3,857.8,213.12,601.43,35.4
19.790,39.58,1128.5,4.96,2969.7,1808.0,858.3,213.66,601.80,35.5
19.820,39.64,1130.2,4.96,2971.7,1809.7,858.9,214.19,602.18,35.6
19.850,39.70,1132.0,4.95,2973.8,1811.4,859.4,214.73,602.55,35.6
19.880,39.76,1133.8,4.95,2975.8,1813.1,859.9,215.26,602.93,35.7
19.910,39.82,1135.5,4.94,2977.9,1814.7,860.5,215.80,603.30,35.8
19.940,39.88,1137.3,4.94,2979.9,1816.4,861.0,216.33,603.67,35.8
19.970,39.94,1139.1,4.93,2982.0,1818.1,861.5,216.87,604.05,35.9
20.000,40.00,1140.9,4.93,2984.0,1819.8,862.1,217.41,604.42,36.0
20.030,40.06,1142.6,4.92,2986.0,1821.5,862.6,217.95,604.79,36.0
20.060,40.12,1144.4,4.92,2988.1,1823.2,863.1,218.49,605.17,36.1
20.090,40.18,1146.2,4.92,2990.1,1824.8,863.7,219.03,605.54,36.2
20.120,40.24,1147.9,4.91,2992.2,1826.5,864.2,219.57,605.92,36.2
20.150,40.30,1149.7,4.91,2994.2,1828.2,864.7,220.11,606.29,36.3
20.180,40.36,1151.5,4.90,2996.3,1829.9,865.3,220.65,606.66,36.4
20.210,40.42,1153.2,4.90,2998.3,1831.6,865.8,221.19,607.04,36.4
20.240,40.48,1155.0,4.89,3000.4,1833.3,866.3,221.73,607.41,36.5
20.270,40.54,1156.8,4.89,3002.4,1834.9,866.9,222.28,607.79,36.6
20.300,40.60,1158.5,4.88,3004.4,1836.6,867.4,222.82,608.16,36.6
20.330,40.66,1160.3,4.88,3006.5,1838.3,867.9,223.37,608.53,36.7
20.360,40.72,1162.1,4.87,3008.5,1840.0,868.5,223.91,608.91,36.8
20.390,40.78,1163.8,4.87,3010.6,1841.7,869.0,224.46,609.28,36.8
20.420,40.84,1165.6,4.87,3012.6,1843.3,869.5,225.00,609.66,36.9
20.450,40.90,1167.4,4.86,3014.7,1845.0,870.1,225.55,610.03,37.0
20.480,40.96,1169.2,4.86,3016.7,1846.7,870.6,226.10,610.41,37.0
20.511,41.02,1170.9,4.85,3018.8,1848.4,871.1,226.65,610.78,37.1
20.541,41.08,1172.7,4.85,3020.8,1850.1,871.7,227.20,611.15,37.2
20.571,41.14,1174.5,4.84,3022.8,1851.8,872.2,227.75,611.53,37.2
20.601,41.20,1176.2,4.84,3024.9,1853.4,872.7,228.30,611.90,37.3
20.631,41.26,1178.0,4.83,3026.9,1855.1,873.3,228.85,612.28,37.4
20.661,41.32,1179.8,4.83,3029.0,1856.8,873.8,229.40,612.65,37.4
20.691,41.38,1181.5,4.83,3031.0,1858.5,874.3,229.95,613.03,37.5
20.721,41.44,1183.3,4.82,3033.1,1860.2,874.9,230.50,613.40,37.6
20.751,41.50,1185.1,4.82,3035.1,1861.9,875.4,231.06,613.78,37.6
20.781,41.56,1186.8,4.81,3037.2,1863.5,875.9,231.61,614.15,37.7
20.811,41.62,1188.6,4.81,3039.2,1865.2,876.5,232.17,614.52,37.8
20.841,41.68,1190.4,4.80,3041.2,1866.9,877.0,232.72,614.90,37.8
20.871,41.74,1192.1,4.80,3043.3,1868.6,877.5,233.28,615.27,37.9
20.901,41.80,1193.9,4.80,3045.3,1870.3,878.1,233.83,615.65,38.0
20.931,41.86,1195.7,4.79,3047.4,1872.0,878.6,234.39,616.02,38.0
20.961,41.92,1197.4,4.79,3049.4,1873.6,879.1,234.95,616.40,38.1
20.991,41.98,1199.2,4.78,3051.5,1875.3,879.7,235.51,616.77,38.2
21.021,42.04,1201.0,4.78,3053.5,1877.0,880.2,236.07,617.15,38.3
21.051,42.10,1202.8,4.77,3055.6,1878.7,880.7,236.63,617.52,38.3
21.081,42.16,1204.5,4.77,3057.6,1880.4,881.3,237.19,617.90,38.4
21.111,42.22,1206.3,4.77,3059.7,1882.1,881.8,237.75,618.27,38.5
21.141,42.28,1208.1,4.76,3061.7,1883.7,882.4,238.31,618.65,38.5
21.171,42.34,1209.8,4.76,3063.7,1885.4,882.9,238.87,619.02,38.6
21.201,42.40,1211.6,4.75,3065.8,1887.1,883.4,239.43,619.40,38.7
21.231,42.46,1213.4,4.75,3067.8,1888.8,884.0,240.00,619.77,38.7
21.261,42.52,1215.1,4.75,3069.9,1890.5,884.5,240.56,620.15,38.8
21.291,42.58,1216.9,4.74,3071.9,1892.2,885.0,241.12,620.52,38.9
21.321,42.64,1218.7,4.74,3074.0,1893.8,885.6,241.69,620.90,38.9
21.351,42.70,1220.4,4.73,3076.0,1895.5,886.1,242.25,621.27,39.0
21.381,42.76,1222.2,4.73,3078.1,1897.2,886.6,242.82,621.65,39.1
21.411,42.82,1224.0,4.73,3080.1,1898.9,887.2,243.39,622.02,39.1
21.441,42.88,1225.7,4.72,3082.2,1900.6,887.7,243.96,622.40,39.2
21.471,42.94,1227.5,4.72,3084.2,1902.2,888.2,244.52,622.77,39.3
21.502,43.00,1229.3,4.71,3086.2,1903.9,888.8,245.09,623.15,39.3
21.532,43.06,1231.0,4.71,3088.3,1905.6,889.3,245.66,623.52,39.4
21.562,43.12,1232.8,4.71,3090.3,1907.3,889.8,246.23,623.90,39.5
21.592,43.18,1234.6,4.70,3092.4,1909.0,890.4,246.80,624.27,39.5
21.622,43.24,1236.3,4.70,3094.4,1910.7,890.9,247.37,624.65,39.6
21.652,43.30,1238.1,4.69,3096.5,1912.3,891.4,247.95,625.03,39.7
21.682,43.36,1239.9,4.69,3098.5,1914.0,892.0,248.52,625.40,39.7
21.712,43.42,1241.7,4.69,3100.6,1915.7,892.5,249.09,625.78,39.8
21.742,43.48,1243.4,4.68,3102.6,1917.4,893.1,249.67,626.15,39.9
21.772,43.54,1245.2,4.68,3104.7,1919.1,893.6,250.24,626.53,39.9
21.802,43.60,1247.0,4.67,3106.7,1920.8,894.1,250.81,626.90,40.0
21.832,43.66,1248.7,4.67,3108.7,1922.4,894.7,251.39,627.28,40.1
21.862,43.72,1250.5,4.67,3110.8,1924.1,895.2,251.97,627.65,40.1
21.892,43.78,1252.3,4.66,3112.8,1925.8,895.7,252.54,628.03,40.2
21.922,43.84,1254.0,4.66,3114.9,1927.5,896.3,253.12,628.40,40.3
21.952,43.90,1255.8,4.66,3116.9,1929.2,896.8,253.70,628.78,40.3
21.982,43.96,1257.6,4.65,3119.0,1930.9,897.3,254.28,629.16,40.4
22.012,44.02,1259.3,4.65,3121.0,1932.5,897.9,254.86,629.53,40.5
22.042,44.08,1261.1,4.64,3123.1,1934.2,898.4,255.44,629.91,40.6
22.072,44.14,1262.9,4.64,3125.1,1935.9,898.9,256.02,630.28,40.6
22.102,44.20,1264.6,4.64,3127.2,1937.6,899.5,256.60,630.66,40.7
22.132,44.26,1266.4,4.63,3129.2,1939.3,900.0,257.18,631.03,40.8
22.162,44.32,1268.2,4.63,3131.2,1940.9,900.6,257.76,631.41,40.8
22.192,44.38,1269.9,4.63,3133.3,1942.6,901.1,258.35,631.79,40.9
22.222,44.44,1271.7,4.62,3135.3,1944.3,901.6,258.93,632.16,41.0
22.252,44.50,1273.5,4.62,3137.4,1946.0,902.2,259.51,632.54,41.0
22.282,44.56,1275.2,4.61,3139.4,1947.7,902.7,260.10,632.91,41.1
22.312,44.62,1277.0,4.61,3141.5,1949.4,903.2,260.68,633.29,41.2
22.342,44.68,1278.8,4.61,3143.5,1951.0,903.8,261.27,633.67,41.2
22.372,44.74,1280.5,4.60,3145.6,1952.7,904.3,261.86,634.04,41.3
22.402,44.80,1282.3,4.60,3147.6,1954.4,904.8,262.44,634.42,41.4
22.432,44.86,1284.1,4.60,3149.7,1956.1,905.4,263.03,634.79,41.4
22.462,44.92,1285.8,4.59,3151.7,1957.8,905.9,263.62,635.17,41.5
22.492,44.98,1287.6,4.59,3153.8,1959.4,906.5,264.21,635.55,41.6
22.523,45.05,1289.4,4.59,3155.8,1961.1,907.0,264.80,635.92,41.6
22.553,45.11,1291.2,4.58,3157.8,1962.8,907.5,265.39,636.30,41.7
22.583,45.17,1292.9,4.58,3159.9,1964.5,908.1,265.98,636.67,41.8
22.613,45.23,1294.7,4.57,3161.9,1966.2,908.6,266.57,637.05,41.8
22.643,45.29,1296.5,4.57,3164.0,1967.9,909.1,267.17,637.43,41.9
22.673,45.35,1298.2,4.57,3166.0,1969.5,909.7,267.76,637.80,42.0
22.703,45.41,1300.0,4.56,3168.1,1971.2,910.2,268.35,638.18,42.0
22.733,45.47,1301.8,4.56,3170.1,1972.9,910.7,268.95,638.56,42.1
22.763,45.53,1303.5,4.56,3172.2,1974.6,911.3,269.54,638.93,42.2
22.793,45.59,1305.3,4.55,3174.2,1976.3,911.8,270.14,639.31,42.3
22.823,45.65,1307.1,4.55,3176.3,1978.0,912.4,270.73,639.68,42.3
22.853,45.71,1308.8,4.55,3178.3,1979.6,912.9,271.33,640.06,42.4
22.883,45.77,1310.6,4.54,3180.4,1981.3,913.4,271.93,640.44,42.5
22.913,45.83,1312.4,4.54,3182.4,1983.0,914.0,272.52,640.81,42.5
22.943,45.89,1314.1,4.54,3184.4,1984.7,914.5,273.12,641.19,42.6
22.973,45.95,1315.9,4.53,3186.5,1986.4,915.0,273.72,641.57,42.7
23.003,46.01,1317.7,4.53,3188.5,1988.0,915.6,274.32,641.94,42.7
23.033,46.07,1319.4,4.53,3190.6,1989.7,916.1,274.92,642.32,42.8
23.063,46.13,1321.2,4.52,3192.6,1991.4,916.7,275.52,642.70,42.9
23.093,46.19,1323.0,4.52,3194.7,1993.1,917.2,276.12,643.07,42.9
23.123,46.25,1324.7,4.52,3196.7,1994.8,917.7,276.73,643.45,43.0
23.153,46.31,1326.5,4.51,3198.8,1996.5,918.3,277.33,643.83,43.1
23.183,46.37,1328.3,4.51,3200.8,1998.1,918.8,277.93,644.20,43.1
23.213,46.43,1330.0,4.51,3202.9,1999.8,919.3,278.54,644.58,43.2
23.243,46.49,1331.8,4.50,3204.9,2001.5,919.9,279.14,644.96,43.3
23.273,46.55,1333.6,4.50,3207.0,2003.2,920.4,279.75,645.33,43.3
23.303,46.61,1335.3,4.50,3209.0,2004.9,921.0,280.35,645.71,43.4
23.333,46.67,1337.1,4.49,3211.1,2006.5,921.5,280.96,646.09,43.5
23.363,46.73,1338.9,4.49,3213.1,2008.2,922.0,281.57,646.46,43.6
23.393,46.79,1340.6,4.49,3215.1,2009.9,922.6,282.17,646.84,43.6
23.423,46.85,1342.4,4.48,3217.2,2011.6,923.1,282.78,647.22,43.7
23.453,46.91,1344.2,4.48,3219.2,2013.3,923.6,283.39,647.59,43.8
23.483,46.97,1345.9,4.48,3221.3,2015.0,924.2,284.00,647.97,43.8
23.514,47.03,1347.7,4.47,3223.3,2016.6,924.7,284.61,648.35,43.9
23.544,47.09,1349.5,4.47,3225.4,2018.3,925.3,285.22,648.72,44.0
23.574,47.15,1351.2,4.47,3227.4,2020.0,925.8,285.83,649.10,44.0
23.604,47.21,1353.0,4.46,3229.5,2021.7,926.3,286.45,649.48,44.1
23.634,47.27,1354.8,4.46,3231.5,2023.4,926.9,287.06,649.86,44.2
23.664,47.33,1356.5,4.46,3233.6,2025.0,927.4,287.67,650.23,44.2
23.694,47.39,1358.3,4.45,3235.6,2026.7,927.9,288.29,650.61,44.3
23.724,47.45,1360.1,4.45,3237.7,2028.4,928.5,288.90,650.99,44.4
23.754,47.51,1361.8,4.45,3239.7,2030.1,929.0,289.52,651.36,44.4
23.784,47.57,1363.6,4.44,3241.8,2031.8,929.6,290.13,651.74,44.5
23.814,47.63,1365.4,4.44,3243.8,2033.5,930.1,290.75,652.12,44.6
23.844,47.69,1367.2,4.44,3245.8,2035.1,930.6,291.37,652.50,44.7
23.874,47.75,1368.9,4.43,3247.9,2036.8,931.2,291.98,652.87,44.7
23.904,47.81,1370.7,4.43,3249.9,2038.5,931.7,292.60,653.25,44.8
23.934,47.87,1372.5,4.43,3252.0,2040.2,932.2,293.22,653.63,44.9
23.964,47.93,1374.2,4.42,3254.0,2041.9,932.8,293.84,654.00,44.9
23.994,47.99,1376.0,4.42,3256.1,2043.5,933.3,294.46,654.38,45.0
24.024,48.05,1377.8,4.42,3258.1,2045.2,933.9,295.08,654.76,45.1
24.054,48.11,1379.5,4.42,3260.2,2046.9,934.4,295.70,655.14,45.1
24.084,48.17,1381.3,4.41,3262.2,2048.6,934.9,296.32,655.51,45.2
24.114,48.23,1383.1,4.41,3264.3,2050.3,935.5,296.95,655.89,45.3
24.144,48.29,1384.8,4.41,3266.3,2052.0,936.0,297.57,656.27,45.3
24.174,48.35,1386.6,4.40,3268.4,2053.6,936.5,298.19,656.65,45.4
24.204,48.41,1388.4,4.40,3270.4,2055.3,937.1,298.82,657.02,45.5
24.234,48.47,1390.1,4.40,3272.5,2057.0,937.6,299.44,657.40,45.5
24.264,48.53,1391.9,4.39,3274.5,2058.7,938.2,300.07,657.78,45.6
24.294,48.59,1393.7,4.39,3276.5,2060.4,938.7,300.70,658.16,45.7
24.324,48.65,1395.4,4.39,3278.6,2062.0,939.2,301.32,658.53,45.8
24.354,48.71,1397.2,4.38,3280.6,2063.7,939.8,301.95,658.91,45.8
24.384,48.77,1399.0,4.38,3282.7,2065.4,940.3,302.58,659.29,45.9
24.414,48.83,1400.7,4.38,3284.7,2067.1,940.9,303.21,659.67,46.0
24.444,48.89,1402.5,4.38,3286.8,2068.8,941.4,303.84,660.04,46.0
24.474,48.95,1404.3,4.37,3288.8,2070.5,941.9,304.47,660.42,46.1
24.505,49.01,1406.0,4.37,3290.9,2072.1,942.5,305.10,660.80,46.2
24.535,49.07,1407.8,4.37,3292.9,2073.8,943.0,305.73,661.18,46.2
24.565,49.13,1409.6,4.36,3295.0,2075.5,943.5,306.36,661.55,46.3
24.595,49.19,1411.3,4.36,3297.0,2077.2,944.1,306.99,661.93,46.4
24.625,49.25,1413.1,4.36,3299.1,2078.9,944.6,307.63,662.31,46.4
24.655,49.31,1414.9,4.35,3301.1,2080.5,945.2,308.26,662.69,46.5
24.685,49.37,1416.6,4.35,3303.2,2082.2,945.7,308.90,663.06,46.6
24.715,49.43,1418.4,4.35,3305.2,2083.9,946.2,309.53,663.44,46.7
24.745,49.49,1420.2,4.35,3307.3,2085.6,946.8,310.17,663.82,46.7
24.775,49.55,1421.9,4.34,3309.3,2087.3,947.3,310.80,664.20,46.8
24.805,49.61,1423.7,4.34,3311.3,2088.9,947.9,311.44,664.58,46.9
24.835,49.67,1425.5,4.34,3313.4,2090.6,948.4,312.08,664.95,46.9
24.865,49.73,1427.2,4.33,3315.4,2092.3,948.9,312.71,665.33,47.0
24.895,49.79,1429.0,4.33,3317.5,2094.0,949.5,313.35,665.71,47.1
24.925,49.85,1430.8,4.33,3319.5,2095.7,950.0,313.99,666.09,47.1
24.955,49.91,1432.5,4.33,3321.6,2097.4,950.6,314.63,666.46,47.2
24.985,49.97,1434.3,4.32,3323.6,2099.0,951.1,315.27,666.84,47.3
25.015,50.03,1436.1,4.32,3325.7,2100.7,951.6,315.91,667.22,47.3
25.045,50.09,1437.8,4.32,3327.7,2102.4,952.2,316.56,667.60,47.4
25.075,50.15,1439.6,4.31,3329.8,2104.1,952.7,317.20,667.98,47.5
25.105,50.21,1441.4,4.31,3331.8,2105.8,953.2,317.84,668.35,47.6
25.135,50.27,1443.1,4.31,3333.9,2107.4,953.8,318.49,668.73,47.6
25.165,50.33,1444.9,4.31,3335.9,2109.1,954.3,319.13,669.11,47.7
25.195,50.39,1446.7,4.30,3338.0,2110.8,954.9,319.78,669.49,47.8
25.225,50.45,1448.4,4.30,3340.0,2112.5,955.4,320.42,669.87,47.8
25.255,50.51,1450.2,4.30,3342.1,2114.2,955.9,321.07,670.25,47.9
25.285,50.57,1452.0,4.29,3344.1,2115.8,956.5,321.71,670.62,48.0
25.315,50.63,1453.7,4.29,3346.2,2117.5,957.0,322.36,671.00,48.0
25.345,50.69,1455.5,4.29,3348.2,2119.2,957.6,323.01,671.38,48.1
25.375,50.75,1457.3,4.29,3350.2,2120.9,958.1,323.66,671.76,48.2
25.405,50.81,1459.0,4.28,3352.3,2122.6,958.6,324.31,672.14,48.3
25.435,50.87,1460.8,4.28,3354.3,2124.3,959.2,324.96,672.51,48.3
25.465,50.93,1462.6,4.28,3356.4,2125.9,959.7,325.61,672.89,48.4
25.495,50.99,1464.3,4.28,3358.4,2127.6,960.3,326.26,673.27,48.5
25.526,51.05,1466.1,4.27,3360.5,2129.3,960.8,326.91,673.65,48.5
25.556,51.11,1467.9,4.27,3362.5,2131.0,961.3,327.56,674.03,48.6
25.586,51.17,1469.6,4.27,3364.6,2132.7,961.9,328.22,674.41,48.7
25.616,51.23,1471.4,4.26,3366.6,2134.3,962.4,328.87,674.78,48.7
25.646,51.29,1473.2,4.26,3368.7,2136.0,963.0,329.52,675.16,48.8
25.676,51.35,1474.9,4.26,3370.7,2137.7,963.5,330.18,675.54,48.9
25.706,51.41,1476.7,4.26,3372.8,2139.4,964.0,330.83,675.92,48.9
25.736,51.47,1478.5,4.25,3374.8,2141.1,964.6,331.49,676.30,49.0
25.766,51.53,1480.2,4.25,3376.9,2142.7,965.1,332.15,676.68,49.1
25.796,51.59,1482.0,4.25,3378.9,2144.4,965.7,332.80,677.05,49.2
25.826,51.65,1483.8,4.25,3381.0,2146.1,966.2,333.46,677.43,49.2
25.856,51.71,1485.5,4.24,3383.0,2147.8,966.7,334.12,677.81,49.3
25.886,51.77,1487.3,4.24,3385.1,2149.5,967.3,334.78,678.19,49.4
25.916,51.83,1489.1,4.24,3387.1,2151.2,967.8,335.44,678.57,49.4
25.946,51.89,1490.8,4.23,3389.1,2152.8,968.4,336.10,678.95,49.5
25.976,51.95,1492.6,4.23,3391.2,2154.5,968.9,336.76,679.33,49.6
26.006,52.01,1494.4,4.23,3393.2,2156.2,969.4,337.42,679.70,49.6
26.036,52.07,1496.1,4.23,3395.3,2157.9,970.0,338.09,680.08,49.7
26.066,52.13,1497.9,4.22,3397.3,2159.6,970.5,338.75,680.46,49.8
26.096,52.19,1499.7,4.22,3399.4,2161.2,971.1,339.41,680.84,49.9
26.126,52.25,1501.4,4.22,3401.4,2162.9,971.6,340.08,681.22,49.9
26.156,52.31,1503.2,4.22,3403.5,2164.6,972.1,340.74,681.60,50.0
26.186,52.37,1505.0,4.21,3405.5,2166.3,972.7,341.41,681.98,50.1
26.216,52.43,1506.7,4.21,3407.6,2168.0,973.2,342.07,682.36,50.1
26.246,52.49,1508.5,4.21,3409.6,2169.6,973.8,342.74,682.73,50.2
26.276,52.55,1510.3,4.21,3411.7,2171.3,974.3,343.41,683.11,50.3
26.306,52.61,1512.0,4.20,3413.7,2173.0,974.8,344.07,683.49,50.3
26.336,52.67,1513.8,4.20,3415.8,2174.7,975.4,344.74,683.87,50.4
26.366,52.73,1515.6,4.20,3417.8,2176.4,975.9,345.41,684.25,50.5
26.396,52.79,1517.3,4.20,3419.9,2178.1,976.5,346.08,684.63,50.6
26.426,52.85,1519.1,4.19,3421.9,2179.7,977.0,346.75,685.01,50.6
26.456,52.91,1520.9,4.19,3424.0,2181.4,977.5,347.42,685.39,50.7
26.486,52.97,1522.6,4.19,3426.0,2183.1,978.1,348.09,685.77,50.8
26.517,53.03,1524.4,4.19,3428.0,2184.8,978.6,348.77,686.14,50.8
26.547,53.09,1526.2,4.18,3430.1,2186.5,979.2,349.44,686.52,50.9
26.577,53.15,1527.9,4.18,3432.1,2188.1,979.7,350.11,686.90,51.0
26.607,53.21,1529.7,4.18,3434.2,2189.8,980.2,350.79,687.28,51.0
26.637,53.27,1531.5,4.18,3436.2,2191.5,980.8,351.46,687.66,51.1
26.667,53.33,1533.2,4.17,3438.3,2193.2,981.3,352.14,688.04,51.2
26.697,53.39,1535.0,4.17,3440.3,2194.9,981.9,352.81,688.42,51.2
26.727,53.45,1536.8,4.17,3442.4,2196.5,982.4,353.49,688.80,51.3
26.757,53.51,1538.5,4.17,3444.4,2198.2,982.9,354.17,689.18,51.4
26.787,53.57,1540.3,4.16,3446.5,2199.9,983.5,354.84,689.56,51.5
26.817,53.63,1542.1,4.16,3448.5,2201.6,984.0,355.52,689.93,51.5
26.847,53.69,1543.8,4.16,3450.6,2203.3,984.6,356.20,690.31,51.6
26.877,53.75,1545.6,4.16,3452.6,2204.9,985.1,356.88,690.69,51.7
26.907,53.81,1547.4,4.15,3454.7,2206.6,985.6,357.56,691.07,51.7
26.937,53.87,1549.1,4.15,3456.7,2208.3,986.2,358.24,691.45,51.8
26.967,53.93,1550.9,4.15,3458.8,2210.0,986.7,358.92,691.83,51.9
26.997,53.99,1552.7,4.15,3460.8,2211.7,987.3,359.61,692.21,52.0
27.027,54.05,1554.4,4.14,3462.9,2213.4,987.8,360.29,692.59,52.0
27.057,54.11,1556.2,4.14,3464.9,2215.0,988.4,360.97,692.97,52.1
27.087,54.17,1558.0,4.14,3467.0,2216.7,988.9,361.66,693.35,52.2
27.117,54.23,1559.7,4.14,3469.0,2218.4,989.4,362.34,693.73,52.2
27.147,54.29,1561.5,4.13,3471.0,2220.1,990.0,363.03,694.11,52.3
27.177,54.35,1563.3,4.13,3473.1,2221.8,990.5,363.71,694.48,52.4
27.207,54.41,1565.0,4.13,3475.1,2223.4,991.1,364.40,694.86,52.4
27.237,54.47,1566.8,4.13,3477.2,2225.1,991.6,365.08,695.24,52.5
27.267,54.53,1568.6,4.12,3479.2,2226.8,992.1,365.77,695.62,52.6
27.297,54.59,1570.3,4.12,3481.3,2228.5,992.7,366.46,696.00,52.7
27.327,54.65,1572.1,4.12,3483.3,2230.2,993.2,367.15,696.38,52.7
27.357,54.71,1573.9,4.12,3485.4,2231.8,993.8,367.84,696.76,52.8
27.387,54.77,1575.6,4.12,3487.4,2233.5,994.3,368.53,697.14,52.9
27.417,54.83,1577.4,4.11,3489.5,2235.2,994.8,369.22,697.52,52.9
27.447,54.89,1579.2,4.11,3491.5,2236.9,995.4,369.91,697.90,53.0
27.477,54.95,1580.9,4.11,3493.6,2238.6,995.9,370.60,698.28,53.1
27.508,55.02,1582.7,4.11,3495.6,2240.2,996.5,371.30,698.66,53.1
27.538,55.08,1584.5,4.10,3497.7,2241.9,997.0,371.99,699.04,53.2
27.568,55.14,1586.2,4.10,3499.7,2243.6,997.6,372.68,699.42,53.3
27.598,55.20,1588.0,4.10,3501.8,2245.3,998.1,373.38,699.80,53.4
27.628,55.26,1589.8,4.10,3503.8,2247.0,998.6,374.07,700.18,53.4
27.658,55.32,1591.5,4.09,3505.9,2248.7,999.2,374.77,700.56,53.5
27.688,55.38,1593.3,4.09,3507.9,2250.3,999.7,375.46,700.94,53.6
27.718,55.44,1595.1,4.09,3510.0,2252.0,1000.3,376.16,701.32,53.6
27.748,55.50,1596.8,4.09,3512.0,2253.7,1000.8,376.86,701.70,53.7
27.778,55.56,1598.6,4.08,3514.1,2255.4,1001.3,377.56,702.07,53.8
27.808,55.62,1600.4,4.08,3516.1,2257.1,1001.9,378.26,702.45,53.8
27.838,55.68,1602.1,4.08,3518.1,2258.7,1002.4,378.96,702.83,53.9
27.868,55.74,1603.9,4.08,3520.2,2260.4,1003.0,379.66,703.21,54.0
27.898,55.80,1605.6,4.08,3522.2,2262.1,1003.5,380.36,703.59,54.1
27.928,55.86,1607.4,4.07,3524.3,2263.8,1004.0,381.06,703.97,54.1
27.958,55.92,1609.2,4.07,3526.3,2265.5,1004.6,381.76,704.35,54.2
27.988,55.98,1610.9,4.07,3528.4,2267.1,1005.1,382.46,704.73,54.3
28.018,56.04,1612.7,4.07,3530.4,2268.8,1005.7,383.17,705.11,54.3
28.048,56.10,1614.5,4.06,3532.5,2270.5,1006.2,383.87,705.49,54.4
28.078,56.16,1616.2,4.06,3534.5,2272.2,1006.8,384.57,705.87,54.5
28.108,56.22,1618.0,4.06,3536.6,2273.9,1007.3,385.28,706.25,54.6
28.138,56.28,1619.8,4.06,3538.6,2275.5,1007.8,385.98,706.63,54.6
28.168,56.34,1621.5,4.06,3540.7,2277.2,1008.4,386.69,707.01,54.7
28.198,56.40,1623.3,4.05,3542.7,2278.9,1008.9,387.40,707.39,54.8
28.228,56.46,1625.1,4.05,3544.8,2280.6,1009.5,388.10,707.77,54.8
28.258,56.52,1626.8,4.05,3546.8,2282.3,1010.0,388.81,708.15,54.9
28.288,56.58,1628.6,4.05,3548.9,2283.9,1010.6,389.52,708.53,55.0
28.318,56.64,1630.4,4.04,3550.9,2285.6,1011.1,390.23,708.91,55.0
28.348,56.70,1632.1,4.04,3553.0,2287.3,1011.6,390.94,709.29,55.1
28.378,56.76,1633.9,4.04,3555.0,2289.0,1012.2,391.65,709.67,55.2
28.408,56.82,1635.7,4.04,3557.1,2290.7,1012.7,392.36,710.05,55.3
28.438,56.88,1637.4,4.04,3559.1,2292.4,1013.3,393.07,710.43,55.3
28.468,56.94,1639.2,4.03,3561.2,2294.0,1013.8,393.79,710.81,55.4
28.498,57.00,1641.0,4.03,3563.2,2295.7,1014.3,394.50,711.19,55.5
28.529,57.06,1642.7,4.03,3565.2,2297.4,1014.9,395.21,711.57,55.5
28.559,57.12,1644.5,4.03,3567.3,2299.1,1015.4,395.93,711.95,55.6
28.589,57.18,1646.3,4.03,3569.3,2300.8,1016.0,396.64,712.33,55.7
28.619,57.24,1648.0,4.02,3571.4,2302.4,1016.5,397.36,712.71,55.8
28.649,57.30,1649.8,4.02,3573.4,2304.1,1017.1,398.08,713.09,55.8
28.679,57.36,1651.6,4.02,3575.5,2305.8,1017.6,398.79,713.47,55.9
28.709,57.42,1653.3,4.02,3577.5,2307.5,1018.1,399.51,713.85,56.0
28.739,57.48,1655.1,4.01,3579.6,2309.2,1018.7,400.23,714.23,56.0
28.769,57.54,1656.9,4.01,3581.6,2310.8,1019.2,400.95,714.61,56.1
28.799,57.60,1658.6,4.01,3583.7,2312.5,1019.8,401.67,714.99,56.2
28.829,57.66,1660.4,4.01,3585.7,2314.2,1020.3,402.39,715.37,56.2
28.859,57.72,1662.2,4.01,3587.8,2315.9,1020.9,403.11,715.75,56.3
28.889,57.78,1663.9,4.00,3589.8,2317.6,1021.4,403.83,716.13,56.4
28.919,57.84,1665.7,4.00,3591.9,2319.2,1021.9,404.55,716.51,56.5
28.949,57.90,1667.5,4.00,3593.9,2320.9,1022.5,405.27,716.89,56.5
28.979,57.96,1669.2,4.00,3596.0,2322.6,1023.0,405.99,717.27,56.6
29.009,58.02,1671.0,4.00,3598.0,2324.3,1023.6,406.72,717.66,56.7
29.039,58.08,1672.8,3.99,3600.1,2326.0,1024.1,407.44,718.04,56.7
29.069,58.14,1674.5,3.99,3602.1,2327.6,1024.6,408.17,718.42,56.8
29.099,58.20,1676.3,3.99,3604.2,2329.3,1025.2,408.89,718.80,56.9
29.129,58.26,1678.1,3.99,3606.2,2331.0,1025.7,409.62,719.18,57.0
29.159,58.32,1679.8,3.99,3608.3,2332.7,1026.3,410.34,719.56,57.0
29.189,58.38,1681.6,3.98,3610.3,2334.4,1026.8,411.07,719.94,57.1
29.219,58.44,1683.4,3.98,3612.3,2336.0,1027.4,411.80,720.32,57.2
29.249,58.50,1685.1,3.98,3614.4,2337.7,1027.9,412.53,720.70,57.2
29.279,58.56,1686.9,3.98,3616.4,2339.4,1028.4,413.26,721.08,57.3
